Manga Title,Anime Title,Season,Genre-1,Genre-2,Genre-3,Demographic,Studio,Manga Sales Pre-Anime,Platform_ABEMA_JP,Rating_ABEMA_JP,Platform_TV_JP,Rating_TV_JP,Platform_Crunchyroll_US,Rating_Crunchyroll_US,Platform_Netflix_US,Rating_Netflix_US,Platform_Netflix_PH,Rating_Netflix_PH,Platform_Bilibili_PH,Rating_Bilibili_PH
,86 EIGHTY-SIX,SPRING,Action,Drama,Mecha,Men,A-1 Pictures,,,,,,,,,,,,,
,.hack//Legend Of The Twilight,WINTER,Adventure,Comedy,Fantasy,Boys,Bee Train,,,,,,,,,,,,,
,Oshi No Ko,SPRING,Drama,Mystery,Psychological,Men,Doga Kobo,,,,,,,,,,,,,
,07-Ghost,SPRING,Action,Fantasy,Fantasy,Women,Studio DEEN,,,,,,,,,,,,,
,I'm Standing on a Million Lives,FALL,Action,Drama,Fantasy,Boys,Maho Film,,,,,,,,,,,,,
,March comes in like a lion,FALL,Drama,Slice of Life,,Men,Shaft,,,,,,,,,,,,,
,The Quintessential Quintuplets,WINTER,Comedy,Drama,Romance,Boys,Tezuka Productions,,,,,,,,,,,,,
,A-Channel,SPRING,Comedy,Slice of Life,School,Men,Studio Gokumi,,,,,,,,,,,,,
,ACCA: 13-Territory Inspection Dept.,WINTER,Drama,Mystery,Slice of Life,Men,MADHOUSE,,,,,,,,,,,,,
,Accel World,SPRING,Action,Romance,Sci-Fi,Boys,Sunrise,,,,,,,,,,,,,
,Place to Place,SPRING,Comedy,Romance,Slice of Life,Men,AIC,,,,,,,,,,,,,
,Adachi and Shimamura,FALL,Romance,Slice of Life,Slice of Life,Boys,Tezuka Productions,,,,,,,,,,,,,
,Afro Samurai,WINTER,Action,Adventure,Drama,Seinen,GONZO,,,,,,,,,,,,,
,Aharen-san wa Hakarenai,SPRING,Comedy,Romance,Slice of Life,Boys,Felix Films,,,,,,,,,,,,,
,Ahiru no Sora,FALL,Drama,Sports,Drama,Boys,diomedéa,,,,,,,,,,,,,
,AHO-GIRL,SUMMER,Comedy,Romance,Slice of Life,Boys,diomedéa,,,,,,,,,,,,,
,Ai Yori Aoshi,SPRING,Comedy,Drama,Romance,Men,J.C.STAFF,,,,,,,,,,,,,
,Air,WINTER,Drama,Romance,Slice of Life,Seinen,Kyoto Animation,,,,,,,,,,,,,
,Aishite Knight,SPRING,Comedy,Music,Romance,Girls,Toei Animation,,,,,,,,,,,,,
,AIURA,SPRING,Comedy,Slice of Life,School,Boys,LIDENFILMS,,,,,,,,,,,,,
,AJIN: Demi-Human,WINTER,Action,Horror,Mystery,Men,POLYGON PICTURES,,,,,,,,,,,,,
,Baby and Me,SUMMER,Comedy,Drama,Slice of Life,Girls,Studio Pierrot,,,,,,,,,,,,,
,Snow White with the Red Hair,SUMMER,Drama,Fantasy,Romance,Girls,bones,,,,,,,,,,,,,
,Anne of Green Gables,WINTER,Drama,Slice of Life,Slice of Life,Kodomo,Nippon Animation,,,,,,,,,,,,,
