Title,Title_Romaji,Title_English,Title_Japanese,Season,SeasonYear,Genre1,Genre2,Genre3,Demographic,Studio,Title_Clean,Circulation_Num,Circulation_PreAnime
86,86: Eighty Six,86 EIGHTY-SIX,86-????????-,SPRING,2021,Action,Drama,Mecha,Seinen,A-1 Pictures,86,,
.hack//Tasogare no Udewa Densetsu,.hack//Tasogare no Udewa Densetsu,.hack//Legend Of The Twilight,.hack//???????,WINTER,2003,Adventure,Comedy,Fantasy,Shounen,Bee Train,.hack//Tasogare no Udewa Densetsu,,
Oshi no Ko,[Oshi no Ko],Oshi No Ko,??????,SPRING,2023,Drama,Mystery,Psychological,Seinen,Doga Kobo,Oshi no Ko,25145,5000000
07-Ghost,07-Ghost,07-Ghost,???????,SPRING,2009,Action,Fantasy,,Josei,Studio DEEN,07-Ghost,,
100-man no Inochi no Ue ni Ore wa Tatteiru,100-man no Inochi no Ue ni Ore wa Tatteiru,I'm Standing on a Million Lives,100?????????????,FALL,2020,Action,Drama,Fantasy,Shounen,Maho Film,100-man no Inochi no Ue ni Ore wa Tatteiru,,
3-gatsu no Lion,3-gatsu no Lion,March comes in like a lion,3??????,FALL,2016,Drama,Slice of Life,,Seinen,Shaft,3-gatsu no Lion,,
5-toubun no Hanayome,Go-toubun no Hanayome,The Quintessential Quintuplets,??????,WINTER,2019,Comedy,Drama,Romance,Shounen,Tezuka Productions,5-toubun no Hanayome,,
A-Channel,A-Channel,A-Channel,A?????,SPRING,2011,Comedy,Slice of Life,,Seinen,Studio Gokumi,A-Channel,,265000000
ACCA: 13-ku Kansatsu-ka,ACCA: 13-ku Kansatsu-ka,ACCA: 13-Territory Inspection Dept.,ACCA 13????,WINTER,2017,Drama,Mystery,Slice of Life,Seinen,MADHOUSE,ACCA: 13-ku Kansatsu-ka,,
Accel World,Accel World,Accel World,?????????,SPRING,2012,Action,Romance,Sci-Fi,,Sunrise,Accel World,,
Acchi Kocchi,Acchi Kocchi,Place to Place,??????,SPRING,2012,Comedy,Romance,Slice of Life,Seinen,AIC,Acchi Kocchi,,
Adachi to Shimamura,Adachi to Shimamura,Adachi and Shimamura,???????,FALL,2020,Romance,Slice of Life,,,Tezuka Productions,Adachi to Shimamura,,
Afro Samurai,Afro Samurai,Afro Samurai,???????,WINTER,2007,Action,Adventure,,,GONZO,Afro Samurai,,
Aharen-san wa Hakarenai,Aharen-san wa Hakarenai,Aharen-san wa Hakarenai,???????????,SPRING,2022,Comedy,Romance,Slice of Life,Shounen,Felix Film,Aharen-san wa Hakarenai,,
Ahiru no Sora,Ahiru no Sora,Ahiru no Sora,?????,FALL,2019,Drama,Sports,,Shounen,diomedéa,Ahiru no Sora,24151,1739105000000
Aho Girl,Aho-Girl,AHO-GIRL,?????,SUMMER,2017,Comedy,Romance,,Shounen,diomedéa,Aho Girl,,62692000000
Ai Yori Aoshi,Ai Yori Aoshi,Ai Yori Aoshi,?????,SPRING,2002,Comedy,Drama,Romance,Seinen,J.C.STAFF,Ai Yori Aoshi,,
Air,AIR,Air,AIR,WINTER,2005,Drama,Romance,Slice of Life,,Kyoto Animation,Air,,
Aishite Knight,Aishite Knight,"Love Me, My Knight",??????,SPRING,1983,Comedy,Music,Romance,Shoujo,Toei Animation,Aishite Knight,,
Aiura,Aiura,AIURA,????,SPRING,2013,Comedy,Slice of Life,,Shounen,LIDENFILMS,Aiura,,
Ajin,Ajin,AJIN: Demi-Human,??,WINTER,2016,Action,Horror,Mystery,Seinen,POLYGON PICTURES,Ajin,,
Akachan to Boku,Aka-chan to Boku,Baby and Me,??????,SUMMER,1996,Comedy,Drama,Slice of Life,Shoujo,Studio Pierrot,Akachan to Boku,,
