Name,Max Players,Play Time,Min Age,Rating Average,Complexity Average,Mechanics,no. of mechanics
"""Oh My God! There's An Axe In My Head."" The Game of International Diplomacy",6,60,16,5,16039,Campaign / Battle Card Driven,4
"""Scratch One Flat Top!""",4,180,12,7,9484,Children's Games,1
"""Tarleton's Quarter!""",2,240,0,7,10994,Cooperative Game,3
(Your Name Here) and the Argonauts,1,20,12,7,7603,Deck Bag and Pool Building,2
007 James Bond: Live and Let Die,2,45,8,5,17261,Area Majority / Influence,6
007 James Bond: The Man with the Golden Gun,1,30,8,5,16318,Grid Movement,3
1 Stein + Co.,4,30,8,5,13625, Deck Bag and Pool Building,4
10 Days in Africa,4,30,10,6,2180,Area Movement,3
10 Days in Asia,4,25,10,6,2491,Deck Bag and Pool Building,4
10 Days in Europe,4,30,10,6,2091,Dice Rolling,2
10 Days in the Americas,4,30,10,6,3637,Dice Rolling,4
10 Days in the USA,4,30,10,6,2224,Area Movement,3
10 Dice,8,30,10,7,12188,Communication Limits,1
10 Dwarves,4,10,8,6,14550,Dice Rolling,6
10 Gallon Tank,5,20,8,7,11470,Drafting,3
10 Minute Heist: The Wizard's Tower,5,10,14,6,3129,Cooperative Game,3
10' to Kill,4,15,12,6,3423,Dice Rolling,7
100 Swords: The Gold King's Dungeon,2,25,13,7,10504,Card Drafting,3
100 Swords: The Red Dragon's Dungeon,2,25,13,6,5994,Chit-Pull System,6
100!,5,10,9,5,17711,Set Collection,2
1000 and One Treasures,4,20,5,6,13208,Hand Management,4
1000 Bornes Express,4,15,6,5,16158,Hand Management,4
1066: End of the Dark Ages,4,240,12,6,13461,Dice Rolling,1
11 nimmt!,7,30,8,6,3057,Memory,4
11:59,2,5,13,6,14261,Campaign / Battle Card Driven,5
12 Days,5,15,8,6,2695,Area Majority / Influence,6
12 Days of Christmas,8,30,8,5,8915,Pattern Building,2
12 Patrols,1,15,12,6,12114,Hand Management,2
12 Realms,6,90,11,5,15004,Area Movement,1
12 Thieves,4,45,8,6,2709,Strategy Games,2
13 Clues,6,30,8,6,2948,Push Your Luck,4
13 Days: The Cuban Missile Crisis,2,45,10,7,629,Action Queue,4
13 Dead End Drive,4,45,9,5,4614, Voting,1
13 Ghosts,4,20,8,6,8587,Dice Rolling,4
13 Sheep,10,8,8,6,9998,Dice Rolling,1
13: The Colonies in Revolt,2,360,12,5,14185,Action Queue,6
15 Days,4,30,0,7,10062,Hand Management,3
15 Dias: The Spanish Golden Age,8,60,12,6,10071,Hexagon Grid,2
15 Men,5,60,14,6,14041,Action Queue,9
1500 m,8,80,12,7,6278,Trick-taking,2
1500: The New World,6,60,12,5,16842,Action Points,9
1572: The Lost Expedition,1,90,12,6,6650,Action Points,3
1672: The Lost Crew,1,120,12,6,13944,Betting and Bluffing,4
1714: The Case of the Catalans,5,120,12,6,4286,Chit-Pull System,7
1750: Britain vs. France,2,60,13,6,8237,Hand Management,1
1754: Conquest - The French and Indian War,4,120,10,7,1751,Modular Board,3
1759:  The Siege of Quebec,2,90,12,7,7170,Deck Bag and Pool Building,3
1761: From Canal to Rail,6,300,12,7,10428,Network and Route Building,2
1775: Rebellion,4,120,10,7,375, Dice Rolling,2
1777: The Year of the Hangman,2,300,12,6,11238,Area Majority / Influence,2
18 Holes,5,60,13,8,10079,Action Points,6
18 Los Angeles,5,240,0,6,8659,Campaign / Battle Card Driven,7
1805: Sea of Glory,2,480,12,7,3806, Paper-and-Pencil,2
1806: Rossbach Avenged,4,120,12,6,8563,Hexagon Grid,3
1807: The Eagles Turn East,2,360,12,7,7686,Simultaneous Action Selection,5
1809: Napoleon's Danube Campaign,2,240,12,6,7778,Area Majority / Influence,2
1812: The Cradle of Steam Railways,4,180,12,7,8666,Communication Limits,5
1813: Napoleon's Nemesis,2,240,0,7,10376,Dice Rolling,5
1815: The Waterloo Campaign,2,360,12,6,10498,Simultaneous Action Selection,1
1822: The Railways of Great Britain,7,420,12,8,2646,Abstract Games,1
1822CA,7,540,12,8,6221,Card Drafting,4
1822MX,5,360,0,8,5567,Network and Route Building,1
