"name","max_players","min_players","min_age","playing_time","year_published","Category-1","Category-2","Category-3","Expansion_available","Mechanic-1","Mechanic-2","Mechanic-3","Publisher-1","Publisher-2","Publisher-3","average_rating"
"""Oh My God! There's An Axe In My Head."" The Game of International Diplomacy ","6","2","16","60","2014","Humor","Negotiation","Political","No","Dice Rolling","Trading","Variable Phase Order","Game Company No. 3",,,"6.3"
"1 Stein + Co.","4","2","8","30","2003","Abstract Strategy",,,"No","Area Enclosure","Tile Placement",,"Goliath B.V.","Holzinsel","NFFX Design","6.1"
"10 Days in Europe","4","2","10","30","2002","Aviation / Flight","Educational","Exploration","No","Hand Management","Route/Network Building",,"Out of the Box Publishing","Schmidt Spiele",,"6.6"
"10 Days in the USA","4","2","10","30","2003","Travel",,,"No","Hand Management","Route/Network Building","Tile Placement","Out of the Box Publishing",,,"6.5"
"1001 Karawane","5","2","10","60","2007","Bluffing","Exploration","Travel","Yes","Memory","Trading",,"Argentum Verlag",,,"5.1"
"1066: End of the Dark Ages","4","2","12","240","2006","Medieval","Political","Wargame","No","Grid Movement",,,"Decision Games (I)",,,"6"
"11 nimmt!","7","2","8","30","2010","Card Game",,,"No","Hand Management",,,"999 Games","AMIGO Spiel + Freizeit GmbH","Asmodee","6.3"
"12 Days of Christmas","8","3","8","30","2015","Card Game",,,"No","Hand Management","Trick-taking",,"Eagle-Gryphon Games","Hobby World",,"5.9"
"12 Thieves","4","2","8","45","2006","Arabian",,,"No","Area Movement","Hand Management",,"Queen Games","Piatnik",,"6.4"
"13 Days: The Cuban Missile Crisis","2","2","10","45","2016","Bluffing","Political",,"No","Area Control / Area Influence","Campaign / Battle Card Driven","Hand Management","Jolly Roger Games","Ludonova","Ultra PRO","7.7"
"13 Dead End Drive","4","2","9","45","1993","Bluffing","Deduction","Murder/Mystery","No","Roll / Spin and Move",,,"Hasbro","MB Giochi","MB Jeux","5.8"
"13: The Colonies in Revolt","2","2","12","360","1985","Age of Reason","American Indian Wars","American Revolutionary War","No","Dice Rolling","Hex-and-Counter",,"TSR",,,"5.8"
"1313 Dead End Drive","4","2","8","30","2002","Bluffing","Deduction","Dice","No","Roll / Spin and Move",,,"Milton Bradley","Parker Brothers",,"5.8"
"15 Dias: The Spanish Golden Age","8","2","12","60","2014","Card Game","Negotiation","Political","No","Hand Management","Variable Phase Order",,"Asylum Games (Board Games)",,,"6.8"
"1655: Habemus Papam","4","3","10","30","2010","Card Game","Pike and Shot","Religious","No","Auction/Bidding","Set Collection",,"999 Games","DDD Verlag GmbH",,"6.5"
"1714: The Case of the Catalans","5","2","12","120","2014","Age of Reason","Negotiation","Wargame","No","Card Drafting","Variable Phase Order",,"Devir",,,"7.3"
"1775: Rebellion","4","2","10","120","2013","Age of Reason","American Indian Wars","American Revolutionary War","No","Area Movement","Campaign / Battle Card Driven","Dice Rolling","Academy Games","ASYNCRON games","Ediciones MasQueOca","7.8"
"1805: Sea of Glory","2","2","12","480","2009","Bluffing","Napoleonic","Nautical","No","Chit-Pull System","Dice Rolling","Hex-and-Counter","GMT Games",,,"7.5"
"1806: Rossbach Avenged","4","2","12","120","1998","Napoleonic","Wargame",,"No","Action Point Allowance System","Hex-and-Counter","Simulation","OSG (Operational Studies Group)",,,"7"
"1807: The Eagles Turn East","2","2","12","360","1994","Napoleonic","Wargame",,"No","Hex-and-Counter",,,"Clash of Arms Games",,,"6.8"
"1809: Napoleon's Danube Campaign","2","2","12","240","1984","Napoleonic","Wargame",,"No","Hex-and-Counter","Simulation",,"Victory Games (I)",,,"6.4"
"1812: The Invasion of Canada","5","2","10","90","2012","Educational","Wargame",,"No","Area Movement","Campaign / Battle Card Driven","Dice Rolling","Academy Games","ASYNCRON games","Schwerkraft-Verlag","7.4"
"1815: The Waterloo Campaign","2","2","12","360","1975","Napoleonic","Wargame",,"No","Hex-and-Counter",,,"GDW Games","Kokusai-Tsushin Co."," Ltd. (?????)","6.5"
"1822: The Railways of Great Britain","7","3","12","420","2016","Economic","Trains","Transportation","No","Auction/Bidding","Route/Network Building","Stock Holding","All-Aboard Games",,,"8.4"
"1825 Unit 1","5","2","14","180","1995","Trains","Transportation",,"Yes","Modular Board","Route/Network Building","Stock Holding","Hartland Trefoil Ltd.","Tresham Games",,"6.8"
"1825 Unit 2","4","2","12","180","2000","Trains","Transportation",,"Yes","Route/Network Building","Stock Holding","Tile Placement","Tresham Games",,,"7.5"
"1825 Unit 3","2","2","14","120","2004","Trains","Transportation",,"Yes","Route/Network Building","Stock Holding","Tile Placement","Tresham Games",,,"7.6"
"1829 Northern Board","9","2","12","360","1981","Economic","Trains",,"Yes","Route/Network Building","Stock Holding","Tile Placement","Hartland Trefoil Ltd.",,,"7"
"1830: Railways & Robber Barons","7","2","14","360","1986","Economic","Trains","Transportation","Yes","Auction/Bidding","Route/Network Building","Stock Holding","999 Games","Avalon Hill","Lookout Games","7.8"
"1844: Switzerland","7","3","12","300","2003","Economic","Trains",,"No","Auction/Bidding","Route/Network Building","Stock Holding","(Self-Published)","Double-O Games","Lookout Games","8.4"
"1844/1854","7","3","12","240","2016","Economic","Trains",,"No","Auction/Bidding","Route/Network Building","Stock Holding","Lookout Games","Mayfair Games",,"8.3"
"1846: The Race for the Midwest","5","3","14","240","2005","Economic","Trains",,"No","Route/Network Building","Stock Holding","Tile Placement","Deep Thought Games"," LLC","GMT Games","8.1"
"1848: Australia","6","3","0","360","2007","Economic","Trains","Transportation","No","Auction/Bidding","Route/Network Building","Stock Holding","(Self-Published)","Double-O Games",,"7.9"
"1860: Railways on the Isle of Wight","4","2","13","240","2004","Economic","Trains","Transportation","Yes","Auction/Bidding","Route/Network Building","Stock Holding","JKLM Games","Prime Games","Z-Man Games","7.9"
"1861: The Railways of the Russian Empire","6","3","12","360","2006","Economic","Trains",,"Yes","Auction/Bidding","Route/Network Building","Stock Holding","All-Aboard Games","JKLM Games","Lookout Games","7.6"
"1862: Railway Mania in the Eastern Counties","8","2","12","300","2013","Economic","Trains",,"No","Auction/Bidding","Route/Network Building","Stock Holding","LMN+B"," Ltd",,"8.2"
"1865: Sardinia","4","2","14","240","2011","Economic","Trains","Transportation","No","Auction/Bidding","Route/Network Building","Stock Holding","Gotha Games",,,"7.7"
"1880: China","7","3","13","300","2010","Economic","Trains",,"No","Auction/Bidding","Route/Network Building","Stock Holding","(Self-Published)","Double-O Games",,"8.2"
"1895 Namibia","3","3","12","180","2004","Economic","Trains","Transportation","No","Route/Network Building","Stock Holding","Tile Placement","(Self-Published)",,,"6.9"
"1914: Glory's End","2","2","12","180","1994","Wargame","World War I",,"No","Dice Rolling","Hex-and-Counter","Simulation","Kokusai-Tsushin Co."," Ltd. (?????)","XTR Corp","6.3"
"1914: Offensive à outrance","4","2","0","17280","2013","Wargame","World War I",,"No","Hex-and-Counter",,,"GMT Games",,,"8"
"1918: Storm in the West","2","2","12","240","1992","Wargame","World War I",,"Yes","Hex-and-Counter",,,"Kokusai-Tsushin Co."," Ltd. (?????)","XTR Corp","6.8"
"1936: Guerra Civil","2","2","12","90","2006","Card Game","Civil War","Political","Yes","Card Drafting","Hand Management","Simulation","Ediciones Rotura",,,"7.7"
"1955: The War of Espionage","2","2","13","45","2011","Card Game","Spies/Secret Agents",,"Yes","Hand Management",,,"APE Games","Living Worlds Games",,"6.2"
"1960: The Making of the President","2","2","12","90","2007","Political",,,"No","Area Control / Area Influence","Campaign / Battle Card Driven","Hand Management","Filosofia Éditions","Gabinete Lúdico","GMT Games","7.6"
"1984: Animal Farm","5","3","12","90","2012","Animals","Bluffing","Negotiation","Yes","Area Control / Area Influence","Partnerships",,"Ku?nia Gier",,,"5.7"
"1989: Dawn of Freedom","2","2","12","150","2012","Political",,,"No","Area Control / Area Influence","Campaign / Battle Card Driven","Dice Rolling","Bard Centrum Gier","GMT Games","Hexasim","7.9"
"1st & Goal","4","2","13","150","2011","Card Game","Dice","Sports","Yes","Dice Rolling","Simultaneous Action Selection",,"R&R Games",,,"6.7"
"2019: The ARCTIC","4","2","12","120","2011","Economic","Exploration","Fighting","No","Area Control / Area Influence","Area Enclosure","Set Collection","Alchemicus.pl","Schwerkraft-Verlag","SINONIS","6.8"
"2038: Tycoons of the Asteroid Belt","6","3","14","360","1995","Economic","Science Fiction","Space Exploration","Yes","Auction/Bidding","Pick-up and Deliver","Route/Network Building","Prism Games","TimJim Games",,"7"
"20th Century","5","3","13","120","2010","City Building","Civilization","Economic","No","Auction/Bidding","Memory","Point to Point Movement","Czech Games Edition","Heidelberger Spieleverlag","IELLO","6.9"
"20th Century Limited","5","2","14","60","2015","Card Game","Economic","Trains","No","Route/Network Building",,,"Rio Grande Games",,,"6.9"
"21 Motines","5","3","10","45","2011","Economic","Industry / Manufacturing","Nautical","No","Hand Management","Variable Phase Order","Worker Placement","(Web published)","Asylum Games (Board Games)","Kokörîn Kolorado","6.8"
"221B Baker St.: Sherlock Holmes & the Time Machine","6","2","12","45","1996","Deduction","Murder/Mystery","Novel-based","No","Roll / Spin and Move",,,"Grow Jogos e Brinquedos","John N. Hansen Co."," Inc.","5.8"
"221B Baker Street: The Master Detective Game","6","2","10","90","1975","Deduction","Murder/Mystery","Novel-based","Yes","Paper-and-Pencil","Role Playing","Roll / Spin and Move","Gammon Games","Gibsons Games","Grow Jogos e Brinquedos","6"
"27th Passenger: A Hunt On Rails","6","3","10","45","2014","Card Game","Deduction","Party Game","Yes","Hand Management","Paper-and-Pencil","Player Elimination","Purple Games",,,"7"
"3 Kings","8","3","14","90","2015","Bluffing","Deduction","Fantasy","Yes","Co-operative Play","Hand Management","Simultaneous Action Selection","GateOnGames",,,"7.5"
"3 Stones","2","2","8","30","2000","Abstract Strategy",,,"No","Area Enclosure","Pattern Recognition",,"Enginuity",,,"6.2"
"30 Carats","6","3","9","40","2013","Bluffing","Deduction",,"No","Auction/Bidding","Commodity Speculation","Trading","Grosso Modo Éditions",,,"6.1"
"30 Seconds","20","3","12","30","2002","Party Game","Real-time","Trivia","Yes","Partnerships","Roll / Spin and Move",,"999 Games","Calco Games","Woodland Games Limited","6.7"
"3D Labyrinth","4","2","5","30","2002","Children's Game","Maze","Racing","No","Modular Board",,,"Ravensburger Spieleverlag GmbH",,,"5.1"
"3rd Fleet","4","2","12","180","1990","Modern Warfare","Wargame",,"Yes","Dice Rolling","Hex-and-Counter","Simulation","Victory Games (I)",,,"7.2"
"4 Gods","4","2","8","30","2016","Real-time",,,"No","Area Control / Area Influence","Tile Placement",,"Asmodee","Conclave Editora","Ludically","6.4"
"4000 A.D.","4","2","10","90","1972","Science Fiction","Wargame",,"No","Partnerships","Secret Unit Deployment",,"Parker Brothers","Waddington's Games"," Inc.","5.4"
"48th Panzer Korps","2","2","12","240","1991","Wargame","World War II",,"No","Hex-and-Counter","Simulation",,"Kokusai-Tsushin Co."," Ltd. (?????)","Pacific Rim Publishing","6.6"
"4th Dimension","2","2","12","45","1979","Abstract Strategy","Science Fiction",,"No","Rock-Paper-Scissors",,,"(Self-Published)","TSR",,"5.3"
"5 Alive","7","2","7","30","1990","Card Game",,,"No","Hand Management","Player Elimination",,"Crown & Andrews Ltd.","Hasbro","International Games","5.4"
"51st State","4","2","10","90","2010","Card Game","City Building","Economic","Yes","Card Drafting","Hand Management","Variable Player Powers","Portal Games","IELLO","Toy Vault","6.9"
"5th Fleet","4","2","12","180","1989","Modern Warfare","Wargame",,"Yes","Dice Rolling","Hex-and-Counter",,"Victory Games (I)",,,"7.1"
"6 Billion","5","2","12","120","1999","Science Fiction",,,"No","Area Control / Area Influence","Hand Management",,"Board Not Bored Games",,,"5.3"
"6 nimmt!","10","2","8","45","1994","Card Game",,,"Yes","Hand Management","Simultaneous Action Selection",,"AMIGO Spiel + Freizeit GmbH","999 Games","Albi","6.9"
"7 Ages","7","2","14","480","2004","Civilization","Wargame",,"No","Area Movement","Simulation","Variable Player Powers","Australian Design Group",,,"7"
"7 Ronin","2","2","14","30","2013","Medieval",,,"Yes","Area Control / Area Influence","Simultaneous Action Selection",,"Badger's Nest","Grey Fox Games",,"7.2"
"7 Steps","4","2","10","30","2014","Abstract Strategy",,,"No","Modular Board","Route/Network Building",,"KOSMOS",,,"6.3"
"7 Wonders","7","2","10","30","2010","Ancient","Card Game","City Building","Yes","Card Drafting","Hand Management","Set Collection","Repos Production","ADC Blackfire Entertainment","Asmodee","7.8"
"7 Wonders Duel","2","2","10","30","2015","Ancient","Card Game","City Building","Yes","Card Drafting","Set Collection",,"Repos Production","ADC Blackfire Entertainment","Asterion Press","8.2"
